Player Name,Predicted Points for GW 25,Value,Position,Team
Aaron Ramsdale,0.1,45.0,GK,Arsenal
Adam Davies,0.0,40.0,GK,Sheffield Utd
Adrián San Miguel del Castillo,0.0,39.0,GK,Liverpool
Alfie Whiteman,0.0,39.0,GK,Spurs
Alisson Ramses Becker,2.09,57.0,GK,Liverpool
Alphonse Areola,1.74,42.0,GK,West Ham
Altay Bayindir,0.0,40.0,GK,Man Utd
André Onana,2.12,48.0,GK,Man Utd
Andy Lonergan,0.0,39.0,GK,Everton
Arijanet Muric,0.0,43.0,GK,Burnley
Bailey Peacock-Farrell,0.0,40.0,GK,Burnley
Bart Verbruggen,0.25,44.0,GK,Brighton
Bernd Leno,2.51,48.0,GK,Fulham
Brandon Austin,0.0,39.0,GK,Spurs
Caoimhin Kelleher,0.31,37.0,GK,Liverpool
Daniel Bentley,0.51,39.0,GK,Wolves
Darren Randolph,0.0,40.0,GK,Bournemouth
David Raya Martin,3.94,49.0,GK,Arsenal
Dean Henderson,0.63,44.0,GK,Crystal Palace
Denis Franchi,0.0,39.0,GK,Burnley
Djordje Petrovic,1.97,,,
Eddie Beach,0.0,40.0,GK,Chelsea
Ederson Santana de Moraes,3.78,55.0,GK,Man City
Ellery Balcombe,0.0,39.0,GK,Brentford
Emiliano Martínez Romero,1.62,52.0,GK,Aston Villa
Ethan Horvath,0.0,43.0,GK,Nott'm Forest
Fabian Mrozek,0.0,40.0,GK,Liverpool
Filip Marschall,0.0,40.0,GK,Aston Villa
Fraser Forster,0.0,38.0,GK,Spurs
Gabriel Słonina,0.0,40.0,GK,Chelsea
George Shelvey,0.0,39.0,GK,Nott'm Forest
Guglielmo Vicario,2.23,53.0,GK,Spurs
Hugo Lloris,0.0,47.0,GK,Spurs
Hákon Valdimarsson,0.0,40.0,GK,Brentford
Ionuț Radu,0.51,44.0,GK,Bournemouth
Ivo Grbic,0.1,45.0,GK,Sheffield Utd
Jack Walton,0.0,40.0,GK,Luton
James Shea,0.0,43.0,GK,Luton
James Trafford,3.56,45.0,GK,Burnley
James Wright,0.0,40.0,GK,Aston Villa
Jason Steele,1.67,42.0,GK,Brighton
Joe Whitworth,0.0,39.0,GK,Crystal Palace
